planning_area,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_over,total,gender,year
Bukit Panjang,6250,7090,7310,8150,9290,10530,10460,10100,9360,10490,10100,11250,10280,7370,4790,2400,1670,1390,138270,Total,2020
Jurong East,2510,2900,3530,4160,4760,5700,5370,5090,5210,5860,5640,6220,6680,5950,4410,2050,1410,1140,78600,Total,2020
Jurong East,1310,1470,1830,2180,2460,2970,2650,2420,2460,2840,2810,3070,3280,2960,2190,990,610,420,38930,Male,2020
Jurong East,1200,1430,1700,1990,2310,2730,2720,2660,2750,3020,2830,3140,3400,2980,2230,1060,800,720,39670,Female,2020
Queenstown,3980,4280,4190,4120,4620,5910,6640,7180,7300,7430,6850,6850,6260,5720,5420,3480,3000,2690,95930,Total,2020
Queenstown,2070,2230,2140,2080,2210,2910,3050,3380,3380,3630,3280,3410,2920,2600,2280,1390,1200,950,45120,Male,2020
Queenstown,1910,2060,2050,2040,2410,3010,3590,3800,3920,3800,3570,3440,3330,3120,3140,2090,1800,1740,50820,Female,2020
Jurong West,5150,6370,7380,7800,8560,9440,9330,10560,10640,10430,9760,9240,8770,7280,4740,2440,1560,1400,130840,Female,2020
Jurong West,10580,13000,14990,16110,17400,19300,18330,19890,20880,21220,20120,19360,17820,14550,9650,4560,2820,2150,262730,Total,2020
Jurong West,5430,6630,7610,8310,8840,9860,9010,9330,10240,10790,10370,10130,9050,7270,4910,2120,1260,750,131900,Male,2020
Bukit Timah,3130,4900,4950,4850,4630,4570,4120,4800,5790,6730,6060,5310,4950,4220,3650,2160,1590,1470,77860,Total,2020
Bukit Timah,1630,2800,2740,2590,2440,2380,2290,2700,3190,3580,3120,2800,2580,2210,1890,1140,900,890,41880,Female,2020
Bukit Timah,1510,2100,2210,2260,2190,2180,1820,2110,2600,3150,2940,2510,2370,2010,1760,1010,690,580,35980,Male,2020
Central Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2020
Central Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Total,2020
Central Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2020
Changi,130,140,150,110,100,90,140,150,170,160,130,100,100,70,60,20,20,20,1850,Total,2020
Changi,60,60,80,60,50,40,70,70,100,90,80,50,60,40,40,10,10,10,960,Male,2020
Changi,70,80,70,50,50,50,80,80,70,80,60,50,40,30,20,10,10,10,890,Female,2020
Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Total,2020
Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2020
Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2020
Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Total,2020
Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2020
Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2020
Clementi,1890,2160,2360,2240,2310,2540,2760,3140,3400,3560,3140,3180,2760,2710,2610,1360,960,570,43630,Male,2020
Clementi,1860,2180,2290,2230,2340,2580,3160,3660,3850,3870,3380,3220,3320,3550,3060,1610,1180,1040,48360,Female,2020
Clementi,3760,4340,4650,4470,4650,5110,5920,6800,7260,7420,6520,6400,6080,6260,5660,2960,2130,1610,91990,Total,2020
Geylang,1910,2100,2290,2390,2820,3960,4200,4090,4090,4160,3860,4150,4300,3690,3010,1780,1510,1550,55860,Female,2020
Geylang,3960,4270,4800,4840,5750,7930,8280,7810,7840,8190,7850,8600,8800,7300,5690,3240,2580,2390,110110,Total,2020
Geylang,2050,2170,2510,2450,2930,3970,4080,3720,3750,4040,3990,4450,4500,3610,2690,1470,1060,840,54260,Male,2020
Hougang,9110,9450,10320,11520,14160,17590,17190,15470,15090,16500,16610,19030,18620,14540,10130,5290,3790,3150,227560,Total,2020
